bet_type,tie_rule,open_time,close_time,p1_dg_id,p2_dg_id,p3_dg_id,p1_player_name,p2_player_name,p3_player_name,p1_open,p1_close,p2_open,p2_close,p3_open,p3_close,p1_outcome,p2_outcome,p3_outcome,p1_outcome_text,p2_outcome_text,p3_outcome_text,book,event_completed,event_name,season,year,event_id,odds,round_num,tour_p1,dg_id_p1,fin_text_p1,course_name_p1,course_num_p1,course_par_p1,start_hole_p1,teetime_p1,round_score_p1,sg_putt_p1,sg_arg_p1,sg_app_p1,sg_ott_p1,sg_t2g_p1,sg_total_p1,driving_dist_p1,driving_acc_p1,gir_p1,scrambling_p1,prox_rgh_p1,prox_fw_p1,great_shots_p1,poor_shots_p1,eagles_or_better_p1,birdies_p1,pars_p1,bogies_p1,doubles_or_worse_p1,dg_id_p2,fin_text_p2,teetime_p2,round_score_p2,sg_putt_p2,sg_arg_p2,sg_app_p2,sg_ott_p2,sg_t2g_p2,sg_total_p2,driving_dist_p2,driving_acc_p2,gir_p2,scrambling_p2,prox_rgh_p2,prox_fw_p2,great_shots_p2,poor_shots_p2,eagles_or_better_p2,birdies_p2,pars_p2,bogies_p2,doubles_or_worse_p2,dg_id_p3,fin_text_p3,teetime_p3,round_score_p3,sg_putt_p3,sg_arg_p3,sg_app_p3,sg_ott_p3,sg_t2g_p3,sg_total_p3,driving_dist_p3,driving_acc_p3,gir_p3,scrambling_p3,prox_rgh_p3,prox_fw_p3,great_shots_p3,poor_shots_p3,eagles_or_better_p3,birdies_p3,pars_p3,bogies_p3,doubles_or_worse_p3,wx_lat,wx_lon,wx_date_from_close,wx_teetime,wx_temp,wx_feelslike,wx_humidity,wx_dew,wx_precip,wx_precipprob,wx_preciptype,wx_windspeed,wx_windgust,wx_winddir,wx_pressure,wx_visibility,wx_cloudcover,wx_conditions,wx_icon,wx_datetime_hour,wx_datetimeEpoch
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,10419.0,12920.0,14140.0,"noren, alex","willett, danny","higgs, harry",2.05,2.05,3.2,3.2,3.15,3.15,0.0,0.0,1.0,loss,loss,win,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,10419.0,T7,TPC Twin Cities,883.0,71.0,1.0,6:56:00.000,70.0,1.941,0.358,-2.735,-0.667,-3.044,-1.103,281.8,0.714,0.5,0.75,87.134,30.793,3.0,4.0,0.0,4.0,11.0,3.0,0.0,12920.0,CUT,6:56:00.000,69.0,2.801,-0.381,-1.895,-0.628,-2.904,-0.103,282.5,0.5,0.611,0.5,49.779,23.479,5.0,5.0,0.0,6.0,9.0,2.0,1.0,14140.0,T25,6:56:00.000,68.0,-0.266,0.086,1.1,-0.023,1.163,0.897,290.3,0.5,0.833,0.75,36.979,21.572,3.0,2.0,0.0,5.0,11.0,2.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,06:56:00,69.8,69.8,99.67,69.7,0.005,100.0,rain,0.5,10.1,358.0,1014.5,9.9,45.7,"Rain, Partially cloudy",rain,07:00:00,1753358400.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,11676.0,12965.0,17780.0,"finau, tony","fowler, rickie","pendrith, taylor",2.75,2.75,2.8,2.8,2.6,2.6,0.0,1.0,0.0,loss,win,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,11676.0,CUT,TPC Twin Cities,883.0,71.0,10.0,7:29:00.000,69.0,-0.996,0.645,-0.743,0.991,0.893,-0.103,289.3,0.786,0.833,0.8,32.84,29.893,3.0,2.0,0.0,3.0,14.0,1.0,0.0,12965.0,T28,7:29:00.000,65.0,0.956,0.402,1.421,1.118,2.941,3.897,282.7,0.929,0.778,1.0,,26.685,3.0,2.0,0.0,6.0,12.0,0.0,0.0,17780.0,T68,7:29:00.000,68.0,-0.479,-1.094,1.15,1.32,1.376,0.897,298.8,0.714,0.778,0.5,32.908,24.282,3.0,5.0,0.0,5.0,11.0,2.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,07:29:00,69.8,69.8,99.67,69.7,0.005,100.0,rain,0.5,10.1,358.0,1014.5,9.9,45.7,"Rain, Partially cloudy",rain,07:00:00,1753358400.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,12423.0,18103.0,25157.0,"kirk, chris","bezuidenhout, chri","hodges, lee",2.9,2.9,2.6,2.6,2.6,2.6,1.0,0.0,0.0,win,loss,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,12423.0,T14,TPC Twin Cities,883.0,71.0,1.0,13:16:00.000,64.0,2.726,-0.121,1.219,1.073,2.171,4.897,290.7,0.714,0.889,1.0,49.337,21.108,4.0,0.0,1.0,5.0,12.0,0.0,0.0,18103.0,T20,13:16:00.000,71.0,1.732,-0.724,-2.561,-0.55,-3.835,-2.103,269.6,0.714,0.611,0.6,125.341,25.651,5.0,3.0,0.0,5.0,9.0,3.0,1.0,25157.0,CUT,13:16:00.000,68.0,0.61,0.252,-0.37,0.405,0.287,0.897,289.6,0.714,0.778,0.8,55.371,23.177,2.0,2.0,0.0,4.0,13.0,1.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,13:16:00,80.0,82.4,65.0,67.2,0.0,0.0,,7.4,18.3,325.0,1015.2,9.9,62.2,Partially cloudy,partly-cloudy-day,13:00:00,1753380000.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,16715.0,23505.0,24550.0,"ryder, sam","mcgreevy, max","ghim, doug",2.9,2.9,2.7,2.7,2.5,2.5,0.0,0.0,1.0,loss,loss,win,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,16715.0,T68,TPC Twin Cities,883.0,71.0,1.0,13:27:00.000,70.0,-1.044,-0.618,0.753,-0.194,-0.059,-1.103,285.4,0.714,0.667,0.333,55.616,23.462,4.0,5.0,1.0,4.0,8.0,5.0,0.0,23505.0,CUT,13:27:00.000,70.0,-3.087,0.991,-0.143,1.136,1.984,-1.103,290.5,0.571,0.556,0.75,51.84,23.955,3.0,6.0,0.0,4.0,11.0,3.0,0.0,24550.0,CUT,13:27:00.000,68.0,-0.991,0.194,0.418,1.276,1.888,0.897,296.8,0.714,0.722,0.8,43.639,21.823,1.0,2.0,0.0,4.0,13.0,1.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,13:27:00,80.0,82.4,65.0,67.2,0.0,0.0,,7.4,18.3,325.0,1015.2,9.9,62.2,Partially cloudy,partly-cloudy-day,13:00:00,1753380000.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,16283.0,25569.0,28159.0,"rodgers, patrick","stevens, sam","meissner, mac",2.75,2.75,2.3,2.3,3.3,3.3,0.0,1.0,0.0,loss,win,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,16283.0,CUT,TPC Twin Cities,883.0,71.0,1.0,7:07:00.000,67.0,1.092,-0.615,2.999,-1.579,0.805,1.897,292.7,0.571,0.833,0.667,29.06,27.494,4.0,3.0,0.0,5.0,12.0,1.0,0.0,25569.0,2,7:07:00.000,62.0,1.91,3.091,-0.217,2.113,4.987,6.897,299.7,0.857,0.833,1.0,38.347,29.816,7.0,4.0,0.0,10.0,7.0,1.0,0.0,28159.0,T14,7:07:00.000,66.0,-0.7,0.073,3.007,0.517,3.597,2.897,288.1,0.714,0.889,0.5,51.574,22.228,5.0,2.0,0.0,6.0,11.0,1.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,07:07:00,69.8,69.8,99.67,69.7,0.005,100.0,rain,0.5,10.1,358.0,1014.5,9.9,45.7,"Rain, Partially cloudy",rain,07:00:00,1753358400.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,15470.0,23465.0,27164.0,"hossler, beau","greyserman, max","phillips, chandler",2.75,2.75,2.15,2.15,3.45,3.45,0.0,1.0,0.0,loss,win,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,15470.0,CUT,TPC Twin Cities,883.0,71.0,10.0,7:07:00.000,74.0,-2.658,0.022,-0.677,-1.79,-2.445,-5.103,292.5,0.643,0.667,0.429,50.642,30.436,2.0,7.0,0.0,3.0,10.0,4.0,1.0,23465.0,CUT,7:07:00.000,69.0,-0.598,2.729,-2.536,0.302,0.495,-0.103,303.3,0.571,0.556,0.778,69.023,24.176,4.0,3.0,0.0,5.0,11.0,1.0,1.0,27164.0,CUT,7:07:00.000,72.0,-1.967,1.285,-1.731,-0.69,-1.136,-3.103,284.8,0.571,0.556,0.875,69.925,27.742,2.0,6.0,0.0,2.0,13.0,3.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,07:07:00,69.8,69.8,99.67,69.7,0.005,100.0,rain,0.5,10.1,358.0,1014.5,9.9,45.7,"Rain, Partially cloudy",rain,07:00:00,1753358400.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,15330.0,23482.0,23542.0,"griffin, lanto","sigg, greyson","champ, cameron",3.25,3.2,3.0,2.95,2.15,2.15,0.0,1.0,0.0,loss,win,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,15330.0,CUT,TPC Twin Cities,883.0,71.0,10.0,6:56:00.000,70.0,-0.041,-0.876,-0.9,0.714,-1.062,-1.103,288.4,0.786,0.722,0.667,26.621,26.511,2.0,3.0,0.0,5.0,10.0,2.0,1.0,23482.0,T39,6:56:00.000,68.0,2.279,-0.585,-0.627,-0.17,-1.382,0.897,282.3,0.571,0.778,0.75,60.236,20.801,4.0,2.0,0.0,4.0,13.0,1.0,0.0,23542.0,T28,6:56:00.000,69.0,-1.399,0.133,-0.195,1.358,1.296,-0.103,304.5,0.714,0.722,0.667,37.838,25.346,5.0,3.0,1.0,2.0,13.0,2.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,06:56:00,69.8,69.8,99.67,69.7,0.005,100.0,rain,0.5,10.1,358.0,1014.5,9.9,45.7,"Rain, Partially cloudy",rain,07:00:00,1753358400.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,14926.0,17881.0,19477.0,"malnati, peter","yu, kevin","schenk, adam",3.75,3.75,1.95,1.95,2.95,2.95,0.0,0.0,1.0,loss,loss,win,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,14926.0,CUT,TPC Twin Cities,883.0,71.0,1.0,7:40:00.000,76.0,-1.341,-0.025,-2.832,-2.905,-5.762,-7.103,288.0,0.5,0.722,0.5,53.98,24.605,2.0,8.0,0.0,3.0,11.0,2.0,2.0,17881.0,CUT,7:40:00.000,72.0,-0.804,-1.996,-1.465,1.162,-2.299,-3.103,296.5,0.714,0.833,0.333,44.08,30.669,2.0,7.0,0.0,4.0,11.0,1.0,2.0,19477.0,CUT,7:40:00.000,69.0,-1.032,-1.049,1.0,0.978,0.929,-0.103,293.2,0.786,0.722,0.333,43.429,22.973,4.0,2.0,1.0,3.0,11.0,3.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,07:40:00,71.4,71.4,92.25,69.1,0.0,0.0,,7.3,12.1,344.0,1014.1,9.9,87.9,Partially cloudy,partly-cloudy-day,08:00:00,1753362000.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,14509.0,20730.0,26660.0,"dahmen, joel","perez, victor","gordon, will",2.85,2.85,2.35,2.35,2.95,2.95,0.0,1.0,0.0,loss,win,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,14509.0,T39,TPC Twin Cities,883.0,71.0,10.0,13:38:00.000,67.0,-1.632,0.966,1.474,1.089,3.529,1.897,291.5,0.786,0.944,0.333,22.766,19.543,3.0,2.0,0.0,4.0,14.0,0.0,0.0,20730.0,T28,13:38:00.000,65.0,1.828,0.8,0.866,0.403,2.069,3.897,293.0,0.643,0.778,0.667,48.528,23.026,3.0,1.0,0.0,7.0,10.0,1.0,0.0,26660.0,CUT,13:38:00.000,72.0,-1.583,-0.194,-1.288,-0.038,-1.52,-3.103,294.1,0.571,0.778,0.25,64.614,24.968,3.0,7.0,0.0,3.0,11.0,4.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,13:38:00,82.2,83.8,54.99,64.5,0.0,0.0,,8.0,17.2,354.0,1016.2,9.9,7.5,Clear,clear-day,14:00:00,1753383600.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,13997.0,15575.0,21891.0,"svensson, adam","hoge, tom","kitayama, kurt",3.45,3.45,2.7,2.7,2.25,2.25,1.0,0.0,0.0,win,loss,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,13997.0,T14,TPC Twin Cities,883.0,71.0,1.0,7:29:00.000,60.0,4.882,1.69,1.924,0.401,4.015,8.897,283.0,0.786,0.889,1.0,46.597,20.809,8.0,0.0,1.0,9.0,8.0,0.0,0.0,15575.0,CUT,7:29:00.000,74.0,-1.795,-0.694,-1.961,-0.653,-3.308,-5.103,285.9,0.643,0.556,0.5,34.892,27.08,2.0,8.0,0.0,2.0,11.0,5.0,0.0,21891.0,1,7:29:00.000,65.0,0.398,0.183,1.628,1.688,3.499,3.897,298.9,0.857,0.778,0.714,20.821,22.012,6.0,3.0,0.0,7.0,10.0,1.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,07:29:00,69.8,69.8,99.67,69.7,0.005,100.0,rain,0.5,10.1,358.0,1014.5,9.9,45.7,"Rain, Partially cloudy",rain,07:00:00,1753358400.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,13508.0,15310.0,19483.0,"vegas, jhonattan","li, haotong","burns, sam",3.2,3.2,3.1,3.1,2.15,2.15,1.0,0.0,0.0,win,loss,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,13508.0,T44,TPC Twin Cities,883.0,71.0,1.0,12:54:00.000,68.0,0.261,-0.198,0.802,0.032,0.636,0.897,297.8,0.571,0.889,1.0,69.448,22.355,4.0,2.0,0.0,5.0,11.0,2.0,0.0,15310.0,CUT,12:54:00.000,70.0,2.327,-0.04,-2.704,-0.686,-3.43,-1.103,290.6,0.571,0.722,0.75,48.512,23.174,4.0,6.0,0.0,5.0,11.0,1.0,1.0,19483.0,T61,12:54:00.000,71.0,-1.257,0.794,-2.682,1.042,-0.846,-2.103,296.2,0.714,0.667,0.667,115.555,24.113,3.0,3.0,0.0,2.0,14.0,2.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,12:54:00,80.0,82.4,65.0,67.2,0.0,0.0,,7.4,18.3,325.0,1015.2,9.9,62.2,Partially cloudy,partly-cloudy-day,13:00:00,1753380000.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,13412.0,14704.0,18424.0,"olesen, thorbjorn","putnam, andrew","roy, kevin",2.75,2.75,2.6,2.6,2.75,2.75,1.0,0.0,0.0,win,loss,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,13412.0,T14,TPC Twin Cities,883.0,71.0,1.0,12:10:00.000,62.0,2.843,0.82,2.207,1.027,4.054,6.897,292.8,0.786,0.778,1.0,34.436,22.384,6.0,2.0,0.0,10.0,7.0,1.0,0.0,14704.0,CUT,12:10:00.000,70.0,1.344,-0.174,-1.312,-0.961,-2.447,-1.103,271.0,0.786,0.722,1.0,22.748,25.745,2.0,5.0,0.0,3.0,14.0,0.0,1.0,18424.0,T28,12:10:00.000,68.0,0.558,-0.238,0.166,0.411,0.339,0.897,294.3,0.429,0.722,0.5,74.144,20.355,6.0,2.0,0.0,5.0,11.0,2.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,12:10:00,77.6,77.6,70.03,67.1,0.0,0.0,,5.8,14.5,351.0,1015.2,9.9,89.0,Partially cloudy,partly-cloudy-day,12:00:00,1753376400.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,12909.0,13470.0,21944.0,"campos, rafael","kizzire, patton","moore, taylor",3.8,3.8,3.0,3.0,1.95,1.95,0.0,0.0,1.0,loss,loss,win,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,12909.0,CUT,TPC Twin Cities,883.0,71.0,1.0,7:51:00.000,68.0,-0.817,-0.017,2.585,-0.854,1.714,0.897,286.7,0.429,0.833,0.6,27.049,24.659,4.0,2.0,0.0,3.0,15.0,0.0,0.0,13470.0,CUT,7:51:00.000,69.0,-0.503,2.861,-2.251,-0.21,0.4,-0.103,282.5,0.571,0.611,1.0,93.007,28.588,6.0,7.0,0.0,5.0,10.0,3.0,0.0,21944.0,T14,7:51:00.000,66.0,-0.194,1.351,0.85,0.89,3.091,2.897,293.1,0.714,0.667,0.75,93.202,26.783,6.0,3.0,1.0,4.0,12.0,1.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,07:51:00,71.4,71.4,92.25,69.1,0.0,0.0,,7.3,12.1,344.0,1014.1,9.9,87.9,Partially cloudy,partly-cloudy-day,08:00:00,1753362000.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,12577.0,27364.0,28270.0,"woodland, gary","thompson, davis","dunlap, nick",2.65,2.65,2.15,2.15,3.8,3.8,1.0,0.0,0.0,win,loss,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,12577.0,T20,TPC Twin Cities,883.0,71.0,10.0,7:51:00.000,67.0,-0.453,0.599,0.722,1.029,2.35,1.897,295.3,0.714,0.778,1.0,45.532,24.858,2.0,2.0,0.0,4.0,14.0,0.0,0.0,27364.0,CUT,7:51:00.000,69.0,0.251,-1.207,0.478,0.375,-0.354,-0.103,287.8,0.857,0.722,0.5,64.447,24.092,4.0,3.0,1.0,3.0,11.0,3.0,0.0,28270.0,CUT,7:51:00.000,74.0,0.299,-0.666,-0.285,-4.451,-5.402,-5.103,296.9,0.429,0.778,0.667,24.555,26.859,2.0,4.0,0.0,2.0,12.0,3.0,1.0,45.1772759150365,-93.21330371989598,2025-07-24,07:51:00,71.4,71.4,92.25,69.1,0.0,0.0,,7.3,12.1,344.0,1014.1,9.9,87.9,Partially cloudy,partly-cloudy-day,08:00:00,1753362000.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,17538.0,18634.0,23014.0,"homa, max","mcnealy, maverick","theegala, sahith",2.75,2.8,2.2,2.2,3.35,3.4,1.0,0.0,0.0,win,loss,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,17538.0,T39,TPC Twin Cities,883.0,71.0,10.0,7:18:00.000,66.0,-0.879,0.035,2.225,1.516,3.776,2.897,296.2,0.786,1.0,0.0,28.888,22.744,3.0,2.0,0.0,5.0,13.0,0.0,0.0,18634.0,CUT,7:18:00.000,71.0,-0.248,-0.386,-0.46,-1.009,-1.855,-2.103,289.2,0.571,0.556,0.5,79.598,28.75,4.0,6.0,1.0,2.0,11.0,4.0,0.0,23014.0,CUT,7:18:00.000,72.0,-2.385,0.926,-1.193,-0.451,-0.718,-3.103,289.7,0.5,0.722,0.8,58.673,19.025,3.0,6.0,0.0,1.0,15.0,2.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,07:18:00,69.8,69.8,99.67,69.7,0.005,100.0,rain,0.5,10.1,358.0,1014.5,9.9,45.7,"Rain, Partially cloudy",rain,07:00:00,1753358400.0
R2 3-Ball,Ties settled by dead-heat rules,24JUL25:21:30:00,25JUL25:09:30:00,10943.0,15980.0,25908.0,"lashley, nate","lipsky, david","whaley, vince",3.25,3.25,2.85,2.85,2.25,2.25,1.0,0.0,0.0,win,loss,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,2.0,pga,10943.0,T28,TPC Twin Cities,883.0,71.0,10.0,12:10:00.000,66.0,-0.073,0.508,1.717,0.97,3.195,3.123,295.8,0.786,0.833,0.6,27.817,27.036,2.0,2.0,0.0,7.0,9.0,2.0,0.0,15980.0,T3,12:10:00.000,68.0,0.131,0.87,-0.702,0.823,0.991,1.123,292.2,0.786,0.833,0.8,30.234,31.716,4.0,5.0,0.0,5.0,11.0,2.0,0.0,25908.0,T57,12:10:00.000,70.0,-1.104,0.048,0.178,0.0,0.226,-0.877,297.6,0.357,0.667,0.833,38.819,29.165,2.0,3.0,0.0,3.0,13.0,2.0,0.0,45.1772759150365,-93.21330371989598,2025-07-25,12:10:00,82.1,83.8,55.62,64.7,0.0,0.0,,7.3,15.2,159.0,1017.2,5.1,2.6,Clear,clear-day,12:00:00,1753462800.0
R2 3-Ball,Ties settled by dead-heat rules,24JUL25:21:30:00,25JUL25:09:30:00,11451.0,13965.0,14609.0,"garnett, brice","hadwin, adam","kim, si woo",3.1,3.1,3.4,3.4,2.05,2.05,0.5,0.0,0.5,dead-heat: 1 for 2,loss,dead-heat: 1 for 2,draftkings,2025-07-27,3M Open,2025,2025,525,,2.0,pga,11451.0,T57,TPC Twin Cities,883.0,71.0,1.0,13:27:00.000,70.0,0.858,-1.442,-0.91,0.616,-1.736,-0.877,276.4,0.929,0.778,0.6,56.491,31.326,2.0,1.0,0.0,3.0,13.0,2.0,0.0,13965.0,T44,13:27:00.000,71.0,2.442,-1.339,-2.226,-0.755,-4.32,-1.877,297.2,0.429,0.611,0.75,58.035,32.827,3.0,6.0,0.0,3.0,12.0,3.0,0.0,14609.0,CUT,13:27:00.000,70.0,-0.44,-0.252,-0.085,-0.101,-0.438,-0.877,288.2,0.643,0.667,1.0,167.134,20.391,2.0,3.0,0.0,3.0,13.0,2.0,0.0,45.1772759150365,-93.21330371989598,2025-07-25,13:27:00,83.0,84.5,53.12,64.2,0.0,0.0,,6.6,15.7,140.0,1016.6,5.4,2.6,Clear,clear-day,13:00:00,1753466400.0
R2 3-Ball,Ties settled by dead-heat rules,24JUL25:21:30:00,25JUL25:09:30:00,11328.0,17381.0,23656.0,"kisner, kevin","silverman, ben","young, carson",3.15,3.15,2.65,2.65,2.4,2.4,0.0,0.0,1.0,loss,loss,win,draftkings,2025-07-27,3M Open,2025,2025,525,,2.0,pga,11328.0,T28,TPC Twin Cities,883.0,71.0,1.0,12:10:00.000,69.0,2.618,-0.984,-0.837,-0.675,-2.496,0.123,278.5,0.5,0.5,0.8,31.847,39.774,6.0,3.0,0.0,4.0,13.0,0.0,1.0,17381.0,T61,12:10:00.000,69.0,-1.01,0.384,0.097,0.651,1.132,0.123,290.1,0.714,0.778,0.8,41.078,27.548,4.0,4.0,0.0,4.0,12.0,2.0,0.0,23656.0,T28,12:10:00.000,65.0,2.404,-0.105,1.406,0.417,1.718,4.123,292.9,0.714,0.944,1.0,73.885,21.958,4.0,0.0,0.0,7.0,10.0,1.0,0.0,45.1772759150365,-93.21330371989598,2025-07-25,12:10:00,82.1,83.8,55.62,64.7,0.0,0.0,,7.3,15.2,159.0,1017.2,5.1,2.6,Clear,clear-day,12:00:00,1753462800.0
R2 3-Ball,Ties settled by dead-heat rules,24JUL25:21:30:00,25JUL25:07:30:00,11049.0,17365.0,27183.0,"simpson, webb","mitchell, keith","salinda, isaiah",2.9,2.9,2.25,2.25,3.2,3.2,0.0,0.0,1.0,loss,loss,win,draftkings,2025-07-27,3M Open,2025,2025,525,,2.0,pga,11049.0,CUT,TPC Twin Cities,883.0,71.0,10.0,6:56:00.000,70.0,-4.242,0.306,2.111,0.947,3.364,-0.877,296.1,0.714,0.889,0.667,45.935,21.283,3.0,3.0,0.0,3.0,13.0,2.0,0.0,17365.0,CUT,6:56:00.000,71.0,-1.557,0.006,0.748,-1.075,-0.321,-1.877,305.4,0.714,0.889,1.0,29.541,23.644,2.0,8.0,0.0,5.0,10.0,2.0,1.0,27183.0,T53,6:56:00.000,68.0,-1.057,1.178,-0.409,1.41,2.179,1.123,290.5,0.857,0.722,1.0,99.507,30.042,3.0,2.0,0.0,5.0,11.0,2.0,0.0,45.1772759150365,-93.21330371989598,2025-07-25,06:56:00,64.4,64.4,99.67,64.3,0.0,0.0,,0.0,5.6,0.0,1017.9,2.5,0.0,Clear,clear-day,07:00:00,1753444800.0
R2 3-Ball,Ties settled by dead-heat rules,24JUL25:21:30:00,25JUL25:07:30:00,14509.0,20730.0,26660.0,"dahmen, joel","perez, victor","gordon, will",2.85,2.85,2.35,2.35,3.0,3.0,1.0,0.0,0.0,win,loss,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,2.0,pga,14509.0,T39,TPC Twin Cities,883.0,71.0,1.0,8:13:00.000,65.0,3.934,-0.021,0.013,0.196,0.188,4.123,290.3,0.786,0.722,0.857,40.331,32.544,5.0,4.0,0.0,6.0,12.0,0.0,0.0,20730.0,T28,8:13:00.000,69.0,-1.38,0.887,1.759,-1.144,1.502,0.123,293.2,0.643,0.778,0.8,26.503,25.537,4.0,2.0,0.0,3.0,14.0,1.0,0.0,26660.0,CUT,8:13:00.000,70.0,-0.434,1.229,-2.374,0.701,-0.444,-0.877,286.9,0.643,0.611,0.875,53.726,25.762,3.0,3.0,1.0,2.0,12.0,3.0,0.0,45.1772759150365,-93.21330371989598,2025-07-25,08:13:00,71.4,71.4,98.7,71.1,0.0,0.0,,0.0,8.3,1.0,1018.2,3.1,0.2,Clear,clear-day,08:00:00,1753448400.0
R2 3-Ball,Ties settled by dead-heat rules,24JUL25:21:30:00,25JUL25:09:30:00,6252.0,18474.0,21756.0,"baddeley, aaron","smalley, alex","cole, eric",4.5,4.5,2.05,2.05,2.5,2.5,0.0,0.0,1.0,loss,loss,win,draftkings,2025-07-27,3M Open,2025,2025,525,,2.0,pga,6252.0,CUT,TPC Twin Cities,883.0,71.0,10.0,13:38:00.000,73.0,-0.461,-0.604,-1.931,-0.882,-3.417,-3.877,278.7,0.5,0.611,0.4,57.943,27.277,2.0,4.0,0.0,3.0,11.0,3.0,1.0,18474.0,T44,13:38:00.000,66.0,-0.55,1.047,1.611,1.014,3.672,3.123,300.1,0.786,0.722,0.8,100.318,22.905,7.0,6.0,1.0,7.0,8.0,0.0,2.0,21756.0,CUT,13:38:00.000,65.0,2.567,-1.432,1.8,1.187,1.555,4.123,298.9,0.643,0.778,0.571,33.369,25.967,4.0,1.0,0.0,8.0,8.0,2.0,0.0,45.1772759150365,-93.21330371989598,2025-07-25,13:38:00,84.0,85.5,51.69,64.4,0.0,0.0,,6.0,15.2,131.0,1016.8,5.0,6.1,Clear,clear-day,14:00:00,1753470000.0
R2 3-Ball,Ties settled by dead-heat rules,24JUL25:21:30:00,25JUL25:07:30:00,20722.0,23504.0,25003.0,"schmid, matti","hoey, rico","walker, danny",2.6,2.6,2.3,2.3,3.5,3.5,0.0,1.0,0.0,loss,win,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,2.0,pga,20722.0,T61,TPC Twin Cities,883.0,71.0,1.0,6:45:00.000,68.0,0.015,-1.129,1.843,0.393,1.107,1.123,302.0,0.571,0.833,0.4,64.316,20.886,2.0,3.0,0.0,6.0,9.0,3.0,0.0,23504.0,T57,6:45:00.000,65.0,1.651,-0.55,1.057,1.964,2.471,4.123,301.7,0.929,0.889,0.333,19.05,28.254,5.0,4.0,1.0,6.0,9.0,2.0,0.0,25003.0,CUT,6:45:00.000,73.0,0.896,-2.132,-2.791,0.149,-4.774,-3.877,297.3,0.571,0.667,0.429,15.92,31.912,3.0,7.0,0.0,6.0,7.0,4.0,1.0,45.1772759150365,-93.21330371989598,2025-07-25,06:45:00,64.4,64.4,99.67,64.3,0.0,0.0,,0.0,5.6,0.0,1017.9,2.5,0.0,Clear,clear-day,07:00:00,1753444800.0
