bet_type,tie_rule,open_time,close_time,p1_dg_id,p2_dg_id,p3_dg_id,p1_player_name,p2_player_name,p3_player_name,p1_open,p1_close,p2_open,p2_close,p3_open,p3_close,p1_outcome,p2_outcome,p3_outcome,p1_outcome_text,p2_outcome_text,p3_outcome_text,book,event_completed,event_name,season,year,event_id,odds,round_num,tour_p1,dg_id_p1,fin_text_p1,course_name_p1,course_num_p1,course_par_p1,start_hole_p1,teetime_p1,round_score_p1,sg_putt_p1,sg_arg_p1,sg_app_p1,sg_ott_p1,sg_t2g_p1,sg_total_p1,driving_dist_p1,driving_acc_p1,gir_p1,scrambling_p1,prox_rgh_p1,prox_fw_p1,great_shots_p1,poor_shots_p1,eagles_or_better_p1,birdies_p1,pars_p1,bogies_p1,doubles_or_worse_p1,dg_id_p2,fin_text_p2,teetime_p2,round_score_p2,sg_putt_p2,sg_arg_p2,sg_app_p2,sg_ott_p2,sg_t2g_p2,sg_total_p2,driving_dist_p2,driving_acc_p2,gir_p2,scrambling_p2,prox_rgh_p2,prox_fw_p2,great_shots_p2,poor_shots_p2,eagles_or_better_p2,birdies_p2,pars_p2,bogies_p2,doubles_or_worse_p2,dg_id_p3,fin_text_p3,teetime_p3,round_score_p3,sg_putt_p3,sg_arg_p3,sg_app_p3,sg_ott_p3,sg_t2g_p3,sg_total_p3,driving_dist_p3,driving_acc_p3,gir_p3,scrambling_p3,prox_rgh_p3,prox_fw_p3,great_shots_p3,poor_shots_p3,eagles_or_better_p3,birdies_p3,pars_p3,bogies_p3,doubles_or_worse_p3,wx_lat,wx_lon,wx_date_from_close,wx_teetime,wx_temp,wx_feelslike,wx_humidity,wx_dew,wx_precip,wx_precipprob,wx_preciptype,wx_windspeed,wx_windgust,wx_winddir,wx_pressure,wx_visibility,wx_cloudcover,wx_conditions,wx_icon,wx_datetime_hour,wx_datetimeEpoch
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,9171.0,10104.0,14459.0,"villegas, camilo","power, seamus","an, byeong hun",3.75,3.75,2.6,2.6,2.15,2.15,0.0,1.0,0.0,loss,win,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,9171.0,T53,TPC Twin Cities,883.0,71.0,1.0,7:18:00.000,68.0,3.182,1.003,-3.164,-0.124,-2.285,0.897,287.2,0.429,0.722,0.571,41.613,43.696,5.0,2.0,0.0,5.0,11.0,2.0,0.0,10104.0,T28,7:18:00.000,67.0,2.103,-0.727,1.222,-0.701,-0.206,1.897,285.1,0.571,0.778,0.667,13.306,25.104,4.0,3.0,0.0,6.0,10.0,2.0,0.0,14459.0,CUT,7:18:00.000,69.0,1.994,1.065,-2.531,-0.631,-2.097,-0.103,304.9,0.429,0.667,0.667,44.868,26.763,5.0,4.0,0.0,3.0,14.0,1.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,07:18:00,69.8,69.8,99.67,69.7,0.005,100.0,rain,0.5,10.1,358.0,1014.5,9.9,45.7,"Rain, Partially cloudy",rain,07:00:00,1753358400.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,8820.0,26653.0,28469.0,"snedeker, brandt","eckroat, austin","highsmith, joe",3.0,3.0,2.4,2.4,2.8,2.8,0.0,1.0,0.0,loss,win,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,8820.0,CUT,TPC Twin Cities,883.0,71.0,10.0,13:05:00.000,72.0,-2.313,0.42,0.45,-1.66,-0.79,-3.103,276.7,0.571,0.611,0.833,98.436,26.631,3.0,5.0,1.0,0.0,14.0,3.0,0.0,26653.0,T39,13:05:00.000,70.0,-0.777,0.516,-1.619,0.777,-0.326,-1.103,294.1,0.643,0.667,0.714,57.603,26.836,3.0,2.0,0.0,2.0,15.0,1.0,0.0,28469.0,CUT,13:05:00.000,73.0,-3.893,0.0,-1.342,1.132,-0.21,-4.103,295.7,0.786,0.722,0.429,48.374,24.471,1.0,3.0,0.0,2.0,13.0,2.0,1.0,45.1772759150365,-93.21330371989598,2025-07-24,13:05:00,80.0,82.4,65.0,67.2,0.0,0.0,,7.4,18.3,325.0,1015.2,9.9,62.2,Partially cloudy,partly-cloudy-day,13:00:00,1753380000.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,15556.0,17786.0,28635.0,"hughes, mackenzie","davis, cam","mccarty, matt",2.6,2.6,2.9,2.9,2.6,2.6,1.0,0.0,0.0,win,loss,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,15556.0,T53,TPC Twin Cities,883.0,71.0,10.0,12:54:00.000,66.0,2.088,-0.273,1.213,-0.131,0.809,2.897,288.3,0.571,0.778,0.833,30.31,25.831,3.0,2.0,0.0,6.0,11.0,1.0,0.0,17786.0,CUT,12:54:00.000,71.0,-0.337,-1.541,-0.025,-0.2,-1.766,-2.103,293.8,0.5,0.667,0.667,51.06,23.605,2.0,5.0,0.0,3.0,12.0,3.0,0.0,28635.0,T68,12:54:00.000,67.0,-1.831,1.529,1.21,0.989,3.728,1.897,297.6,0.714,0.833,0.75,34.929,20.562,3.0,5.0,0.0,5.0,12.0,1.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,12:54:00,80.0,82.4,65.0,67.2,0.0,0.0,,7.4,18.3,325.0,1015.2,9.9,62.2,Partially cloudy,partly-cloudy-day,13:00:00,1753380000.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,17488.0,17550.0,24766.0,"im, sungjae","van rooyen, erik","kim, tom",2.4,2.4,2.9,2.9,2.9,2.9,0.0,0.0,1.0,loss,loss,win,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,17488.0,CUT,TPC Twin Cities,883.0,71.0,10.0,7:40:00.000,71.0,-2.162,1.264,-1.896,0.691,0.059,-2.103,286.4,0.786,0.611,0.571,45.945,27.224,2.0,8.0,0.0,3.0,12.0,3.0,0.0,17550.0,CUT,7:40:00.000,75.0,-3.59,-0.809,-1.574,-0.13,-2.513,-6.103,293.4,0.571,0.722,0.167,54.584,21.806,4.0,10.0,0.0,2.0,11.0,4.0,1.0,24766.0,T28,7:40:00.000,68.0,0.825,0.664,-0.661,0.069,0.072,0.897,278.6,0.786,0.722,0.667,33.932,28.064,2.0,2.0,0.0,5.0,11.0,2.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,07:40:00,71.4,71.4,92.25,69.1,0.0,0.0,,7.3,12.1,344.0,1014.1,9.9,87.9,Partially cloudy,partly-cloudy-day,08:00:00,1753362000.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,11657.0,14967.0,15004.0,"norlander, henrik","hadley, chesson","kim, chan",2.55,2.55,3.05,3.05,2.55,2.55,1.0,0.0,0.0,win,loss,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,11657.0,T72,TPC Twin Cities,883.0,71.0,1.0,13:38:00.000,67.0,-1.463,0.245,2.622,0.493,3.36,1.897,286.9,0.714,0.833,0.75,30.607,24.064,3.0,2.0,1.0,3.0,13.0,1.0,0.0,14967.0,CUT,13:38:00.000,72.0,-0.636,-1.692,-1.248,0.473,-2.467,-3.103,293.2,0.786,0.556,0.5,63.814,24.862,2.0,3.0,0.0,1.0,15.0,2.0,0.0,15004.0,CUT,13:38:00.000,69.0,-0.881,0.281,0.762,-0.265,0.778,-0.103,293.0,0.643,0.778,0.8,38.543,22.858,2.0,3.0,0.0,5.0,11.0,1.0,1.0,45.1772759150365,-93.21330371989598,2025-07-24,13:38:00,82.2,83.8,54.99,64.5,0.0,0.0,,8.0,17.2,354.0,1016.2,9.9,7.5,Clear,clear-day,14:00:00,1753383600.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,11451.0,13965.0,14609.0,"garnett, brice","hadwin, adam","kim, si woo",3.1,3.1,3.4,3.4,2.05,2.05,0.5,0.5,0.0,dead-heat: 1 for 2,dead-heat: 1 for 2,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,11451.0,T57,TPC Twin Cities,883.0,71.0,10.0,8:02:00.000,66.0,3.016,0.194,-0.514,0.201,-0.119,2.897,279.3,0.786,0.833,1.0,36.412,25.889,4.0,1.0,0.0,5.0,13.0,0.0,0.0,13965.0,T44,8:02:00.000,66.0,1.662,0.336,0.545,0.354,1.235,2.897,299.0,0.786,0.889,1.0,40.64,24.847,3.0,1.0,0.0,6.0,11.0,1.0,0.0,14609.0,CUT,8:02:00.000,70.0,-0.213,0.639,-0.836,-0.693,-0.89,-1.103,286.5,0.714,0.611,0.857,79.151,21.667,3.0,9.0,0.0,4.0,11.0,3.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,08:02:00,71.4,71.4,92.25,69.1,0.0,0.0,,7.3,12.1,344.0,1014.1,9.9,87.9,Partially cloudy,partly-cloudy-day,08:00:00,1753362000.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,11328.0,17381.0,23656.0,"kisner, kevin","silverman, ben","young, carson",3.15,3.15,2.65,2.65,2.4,2.4,0.0,1.0,0.0,loss,win,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,11328.0,T28,TPC Twin Cities,883.0,71.0,10.0,6:45:00.000,67.0,2.87,0.216,-1.359,0.17,-0.973,1.897,274.6,0.857,0.667,0.714,81.363,31.888,5.0,5.0,0.0,7.0,8.0,3.0,0.0,17381.0,T61,6:45:00.000,66.0,2.809,-0.448,0.466,0.07,0.088,2.897,290.2,0.786,0.722,0.75,54.075,19.56,4.0,2.0,0.0,6.0,11.0,1.0,0.0,23656.0,T28,6:45:00.000,72.0,-3.589,0.627,-0.881,0.74,0.486,-3.103,284.6,0.857,0.944,1.0,43.743,25.641,0.0,5.0,0.0,1.0,15.0,2.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,06:45:00,69.8,69.8,99.67,69.7,0.005,100.0,rain,0.5,10.1,358.0,1014.5,9.9,45.7,"Rain, Partially cloudy",rain,07:00:00,1753358400.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,11049.0,17365.0,27183.0,"simpson, webb","mitchell, keith","salinda, isaiah",2.85,2.85,2.25,2.25,3.15,3.15,0.0,0.5,0.5,loss,dead-heat: 1 for 2,dead-heat: 1 for 2,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,11049.0,CUT,TPC Twin Cities,883.0,71.0,1.0,12:21:00.000,69.0,-0.692,-0.551,1.204,-0.064,0.589,-0.103,287.8,0.5,0.833,0.333,81.821,20.167,3.0,4.0,0.0,5.0,10.0,3.0,0.0,17365.0,CUT,12:21:00.000,68.0,-0.762,-1.09,2.531,0.218,1.659,0.897,304.8,0.643,0.833,0.333,16.909,22.944,3.0,5.0,0.0,6.0,9.0,3.0,0.0,27183.0,T53,12:21:00.000,68.0,-0.387,-0.916,0.782,1.418,1.284,0.897,299.9,0.786,0.778,0.4,14.908,23.641,2.0,3.0,0.0,6.0,9.0,3.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,12:21:00,77.6,77.6,70.03,67.1,0.0,0.0,,5.8,14.5,351.0,1015.2,9.9,89.0,Partially cloudy,partly-cloudy-day,12:00:00,1753376400.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,10943.0,15980.0,25908.0,"lashley, nate","lipsky, david","whaley, vince",3.25,3.25,2.85,2.85,2.25,2.25,0.5,0.0,0.5,dead-heat: 1 for 2,loss,dead-heat: 1 for 2,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,10943.0,T28,TPC Twin Cities,883.0,71.0,1.0,6:45:00.000,67.0,0.489,-0.653,1.176,0.885,1.408,1.897,286.4,0.857,0.889,0.75,18.964,20.989,3.0,3.0,0.0,4.0,14.0,0.0,0.0,15980.0,T3,6:45:00.000,68.0,0.319,-0.318,2.49,-1.594,0.578,0.897,280.3,0.643,0.778,0.75,13.987,24.42,4.0,5.0,0.0,6.0,9.0,3.0,0.0,25908.0,T57,6:45:00.000,67.0,0.023,-0.942,2.171,0.645,1.874,1.897,296.1,0.571,0.833,0.6,16.283,29.591,3.0,2.0,1.0,4.0,12.0,0.0,1.0,45.1772759150365,-93.21330371989598,2025-07-24,06:45:00,69.8,69.8,99.67,69.7,0.005,100.0,rain,0.5,10.1,358.0,1014.5,9.9,45.7,"Rain, Partially cloudy",rain,07:00:00,1753358400.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,10873.0,16333.0,25363.0,"skinns, david","hubbard, mark","buckley, hayden",2.7,2.7,2.3,2.3,3.3,3.3,0.5,0.5,0.0,dead-heat: 1 for 2,dead-heat: 1 for 2,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,10873.0,T57,TPC Twin Cities,883.0,71.0,1.0,12:32:00.000,66.0,-0.273,-0.461,2.398,1.233,3.17,2.897,291.5,0.857,0.944,0.0,32.971,27.93,2.0,0.0,0.0,6.0,11.0,1.0,0.0,16333.0,T61,12:32:00.000,66.0,1.377,0.37,1.165,-0.015,1.52,2.897,287.5,0.857,0.667,0.833,43.153,22.019,7.0,2.0,0.0,5.0,13.0,0.0,0.0,25363.0,CUT,12:32:00.000,70.0,-0.724,-0.732,1.113,-0.76,-0.379,-1.103,295.3,0.5,0.722,0.4,60.962,20.506,2.0,5.0,0.0,4.0,11.0,3.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,12:32:00,80.0,82.4,65.0,67.2,0.0,0.0,,7.4,18.3,325.0,1015.2,9.9,62.2,Partially cloudy,partly-cloudy-day,13:00:00,1753380000.0
